UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.15,0.4,False,25,Deterministic,682.0,0.05,
0.15,0.4,False,25,Age-Stratified,687.3,0.07,
0.15,0.4,False,26,Stochastic-MILP,681.7,0.01,
0.15,0.4,False,26,LPT,681.85,0.01,
0.15,0.4,False,26,Deterministic,681.85,0.01,
0.15,0.4,False,26,Age-Stratified,685.55,0.06,
0.15,0.4,False,27,Stochastic-MILP,687.65,0.11,
0.15,0.4,False,27,LPT,687.65,0.11,
0.15,0.4,False,27,Deterministic,687.65,0.12,
0.15,0.4,False,27,Age-Stratified,691.55,0.12,
0.15,0.4,False,28,Stochastic-MILP,681.6,0.02,
0.15,0.4,False,28,LPT,680.65,0.01,
0.15,0.4,False,28,Deterministic,680.65,0.01,
0.15,0.4,False,28,Age-Stratified,684.7,0.05,
0.15,0.4,False,29,Stochastic-MILP,683.8,0.03,
0.15,0.4,False,29,LPT,684.4,0.03,
0.15,0.4,False,29,Deterministic,684.4,0.04,
0.15,0.4,False,29,Age-Stratified,685.2,0.04,
0.15,0.4,False,30,Stochastic-MILP,683.6,0.05,
0.15,0.4,False,30,LPT,683.3,0.02,
0.15,0.4,False,30,Deterministic,683.3,0.02,
0.15,0.4,False,30,Age-Stratified,683.9,0.04,
0.15,0.8,False,1,Stochastic-MILP,687.25,0.08,
0.15,0.8,False,1,LPT,686.35,0.09,
0.15,0.8,False,1,Deterministic,686.35,0.1,
0.15,0.8,False,1,Age-Stratified,692.8,0.16,
0.15,0.8,False,2,Stochastic-MILP,686.1,0.03,
0.15,0.8,False,2,LPT,685.5,0.02,
0.15,0.8,False,2,Deterministic,685.5,0.04,
0.15,0.8,False,2,Age-Stratified,685.5,0.02,
0.15,0.8,False,3,Stochastic-MILP,683.65,0.02,
0.15,0.8,False,3,LPT,683.65,0.02,
0.15,0.8,False,3,Deterministic,683.65,0.04,
0.15,0.8,False,3,Age-Stratified,684.5,0.02,
0.15,0.8,False,4,Stochastic-MILP,685.3,0.03,
0.15,0.8,False,4,LPT,685.3,0.03,
0.15,0.8,False,4,Deterministic,685.3,0.03,
0.15,0.8,False,4,Age-Stratified,689.05,0.08,
0.15,0.8,False,5,Stochastic-MILP,684.35,0.03,
0.15,0.8,False,5,LPT,683.9,0.02,
0.15,0.8,False,5,Deterministic,683.9,0.03,
0.15,0.8,False,5,Age-Stratified,686.45,0.06,
0.15,0.8,False,6,Stochastic-MILP,685.45,0.05,
0.15,0.8,False,6,LPT,685.45,0.05,
0.15,0.8,False,6,Deterministic,685.45,0.06,
0.15,0.8,False,6,Age-Stratified,688.8,0.07,
0.15,0.8,False,7,Stochastic-MILP,683.25,0.02,
0.15,0.8,False,7,LPT,683.25,0.02,
0.15,0.8,False,7,Deterministic,683.25,0.04,
0.15,0.8,False,7,Age-Stratified,686.15,0.05,
0.15,0.8,False,8,Stochastic-MILP,686.25,0.05,
0.15,0.8,False,8,LPT,686.25,0.05,
0.15,0.8,False,8,Deterministic,686.25,0.06,
0.15,0.8,False,8,Age-Stratified,686.85,0.07,
0.15,0.8,False,9,Stochastic-MILP,685.6,0.06,
0.15,0.8,False,9,LPT,685.75,0.06,
0.15,0.8,False,9,Deterministic,685.75,0.09,
0.15,0.8,False,9,Age-Stratified,689.35,0.07,
0.15,0.8,False,10,Stochastic-MILP,685.05,0.02,
0.15,0.8,False,10,LPT,684.25,0.02,
0.15,0.8,False,10,Deterministic,684.25,0.04,
0.15,0.8,False,10,Age-Stratified,684.95,0.02,
0.15,0.8,False,11,Stochastic-MILP,682.9,0.02,
0.15,0.8,False,11,LPT,682.7,0.02,
0.15,0.8,False,11,Deterministic,682.7,0.03,
0.15,0.8,False,11,Age-Stratified,685.45,0.02,
0.15,0.8,False,12,Stochastic-MILP,684.9,0.02,
0.15,0.8,False,12,LPT,684.9,0.02,
0.15,0.8,False,12,Deterministic,684.9,0.05,
0.15,0.8,False,12,Age-Stratified,692.3,0.1,
0.15,0.8,False,13,Stochastic-MILP,684.75,0.04,
0.15,0.8,False,13,LPT,684.45,0.04,
0.15,0.8,False,13,Deterministic,684.45,0.04,
0.15,0.8,False,13,Age-Stratified,686.45,0.06,
0.15,0.8,False,14,Stochastic-MILP,686.8,0.05,
0.15,0.8,False,14,LPT,686.8,0.05,
0.15,0.8,False,14,Deterministic,686.8,0.06,
0.15,0.8,False,14,Age-Stratified,690.05,0.1,
0.15,0.8,False,15,Stochastic-MILP,684.55,0.03,
0.15,0.8,False,15,LPT,684.55,0.03,
0.15,0.8,False,15,Deterministic,684.55,0.05,
0.15,0.8,False,15,Age-Stratified,689.55,0.09,
0.15,0.8,False,16,Stochastic-MILP,683.25,0.02,
0.15,0.8,False,16,LPT,683.25,0.02,
0.15,0.8,False,16,Deterministic,683.25,0.02,
0.15,0.8,False,16,Age-Stratified,686.7,0.07,
0.15,0.8,False,17,Stochastic-MILP,685.5,0.07,
0.15,0.8,False,17,LPT,685.05,0.04,
0.15,0.8,False,17,Deterministic,685.05,0.05,
0.15,0.8,False,17,Age-Stratified,685.1,0.03,
0.15,0.8,False,18,Stochastic-MILP,684.2,0.04,
0.15,0.8,False,18,LPT,684.2,0.04,
0.15,0.8,False,18,Deterministic,684.2,0.05,
0.15,0.8,False,18,Age-Stratified,684.4,0.03,
0.15,0.8,False,19,Stochastic-MILP,686.3,0.05,
0.15,0.8,False,19,LPT,686.3,0.05,
0.15,0.8,False,19,Deterministic,686.3,0.07,
0.15,0.8,False,19,Age-Stratified,689.1,0.12,
0.15,0.8,False,20,Stochastic-MILP,684.8,0.02,
0.15,0.8,False,20,LPT,684.8,0.02,
0.15,0.8,False,20,Deterministic,684.8,0.04,
0.15,0.8,False,20,Age-Stratified,692.45,0.12,
0.15,0.8,False,21,Stochastic-MILP,684.3,0.05,
0.15,0.8,False,21,LPT,684.3,0.05,
0.15,0.8,False,21,Deterministic,684.3,0.06,
0.15,0.8,False,21,Age-Stratified,687.15,0.06,
0.15,0.8,False,22,Stochastic-MILP,688.7,0.05,
0.15,0.8,False,22,LPT,688.7,0.05,
0.15,0.8,False,22,Deterministic,688.7,0.07,
0.15,0.8,False,22,Age-Stratified,691.65,0.1,
0.15,0.8,False,23,Stochastic-MILP,688.4,0.06,
0.15,0.8,False,23,LPT,683.55,0.04,
0.15,0.8,False,23,Deterministic,683.55,0.05,
0.15,0.8,False,23,Age-Stratified,686.9,0.07,
0.15,0.8,False,24,Stochastic-MILP,685.45,0.03,
0.15,0.8,False,24,LPT,685.75,0.03,
0.15,0.8,False,24,Deterministic,685.75,0.06,
0.15,0.8,False,24,Age-Stratified,689.7,0.06,
0.15,0.8,False,25,Stochastic-MILP,681.8,0.03,
0.15,0.8,False,25,LPT,682.4,0.03,
0.15,0.8,False,25,Deterministic,682.4,0.05,
0.15,0.8,False,25,Age-Stratified,689.5,0.12,
0.15,0.8,False,26,Stochastic-MILP,682.25,0.02,
0.15,0.8,False,26,LPT,682.25,0.02,
0.15,0.8,False,26,Deterministic,682.25,0.03,
0.15,0.8,False,26,Age-Stratified,687.95,0.08,
