Method,Mean_Time,Std_Time,Min_Time,Max_Time,Median_Time,N_Successful
FCFS,0.0009468416799063562,3.425056154265648e-05,0.0008938329992815852,0.001047083002049476,0.0009396249988640193,50
SPT,0.0006281949000549503,1.657769797071437e-05,0.0006025420007063076,0.0006937920006748755,0.0006273119997786125,50
LPT,0.0005985724600759567,4.608386071262589e-05,0.0005670419996022247,0.0008357090009667445,0.0005911249991186196,50
Deterministic,0.0005778690399165498,3.682763919516105e-05,0.0005548340013774578,0.0008144579987856559,0.0005731250003009336,50
Age-Stratified,0.000575905040386715,4.3758242964487386e-05,0.0005500830011442304,0.000857541999721434,0.0005711250014428515,50
Random,0.0059414358001959044,0.00014687379302354443,0.005688291999831563,0.006283083999733208,0.00596143800066784,50
Stochastic-MILP,20.781853286679908,19.377920108820117,0.1276612089968694,60.13510458299788,12.537986187498973,50
